ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
PARTIDO NACIONALISTA PERUANO,8,1.735%,1.246%,ANCASH,BOLOGNESI,LA PRIMAVERA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.434%,0.312%,ANCASH,BOLOGNESI,LA PRIMAVERA
PARTIDO MORADO,12,2.603%,1.869%,ANCASH,BOLOGNESI,LA PRIMAVERA
PERU PATRIA SEGURA,4,0.868%,0.623%,ANCASH,BOLOGNESI,LA PRIMAVERA
VICTORIA NACIONAL,24,5.206%,3.738%,ANCASH,BOLOGNESI,LA PRIMAVERA
ACCION POPULAR,61,13.232%,9.502%,ANCASH,BOLOGNESI,LA PRIMAVERA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,9,1.952%,1.402%,ANCASH,BOLOGNESI,LA PRIMAVERA
PODEMOS PERU,15,3.254%,2.336%,ANCASH,BOLOGNESI,LA PRIMAVERA
JUNTOS POR EL PERU,88,19.089%,13.707%,ANCASH,BOLOGNESI,LA PRIMAVERA
PARTIDO POPULAR CRISTIANO - PPC,2,0.434%,0.312%,ANCASH,BOLOGNESI,LA PRIMAVERA
FUERZA POPULAR,39,8.460%,6.075%,ANCASH,BOLOGNESI,LA PRIMAVERA
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,LA PRIMAVERA
RENOVACION POPULAR,36,7.809%,5.607%,ANCASH,BOLOGNESI,LA PRIMAVERA
RENACIMIENTO UNIDO NACIONAL,3,0.651%,0.467%,ANCASH,BOLOGNESI,LA PRIMAVERA
PARTIDO DEMOCRATICO SOMOS PERU,21,4.555%,3.271%,ANCASH,BOLOGNESI,LA PRIMAVERA
PARTIDO POLITICO NACIONAL PERU LIBRE,98,21.258%,15.265%,ANCASH,BOLOGNESI,LA PRIMAVERA
DEMOCRACIA DIRECTA,1,0.217%,0.156%,ANCASH,BOLOGNESI,LA PRIMAVERA
ALIANZA PARA EL PROGRESO,38,8.243%,5.919%,ANCASH,BOLOGNESI,LA PRIMAVERA
PARTIDO NACIONALISTA PERUANO,8,1.735%,1.246%,ANCASH,BOLOGNESI,MANGAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.434%,0.312%,ANCASH,BOLOGNESI,MANGAS
PARTIDO MORADO,12,2.603%,1.869%,ANCASH,BOLOGNESI,MANGAS
PERU PATRIA SEGURA,4,0.868%,0.623%,ANCASH,BOLOGNESI,MANGAS
VICTORIA NACIONAL,24,5.206%,3.738%,ANCASH,BOLOGNESI,MANGAS
ACCION POPULAR,61,13.232%,9.502%,ANCASH,BOLOGNESI,MANGAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,9,1.952%,1.402%,ANCASH,BOLOGNESI,MANGAS
PODEMOS PERU,15,3.254%,2.336%,ANCASH,BOLOGNESI,MANGAS
JUNTOS POR EL PERU,88,19.089%,13.707%,ANCASH,BOLOGNESI,MANGAS
PARTIDO POPULAR CRISTIANO - PPC,2,0.434%,0.312%,ANCASH,BOLOGNESI,MANGAS
FUERZA POPULAR,39,8.460%,6.075%,ANCASH,BOLOGNESI,MANGAS
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,MANGAS
RENOVACION POPULAR,36,7.809%,5.607%,ANCASH,BOLOGNESI,MANGAS
RENACIMIENTO UNIDO NACIONAL,3,0.651%,0.467%,ANCASH,BOLOGNESI,MANGAS
PARTIDO DEMOCRATICO SOMOS PERU,21,4.555%,3.271%,ANCASH,BOLOGNESI,MANGAS
PARTIDO POLITICO NACIONAL PERU LIBRE,98,21.258%,15.265%,ANCASH,BOLOGNESI,MANGAS
DEMOCRACIA DIRECTA,1,0.217%,0.156%,ANCASH,BOLOGNESI,MANGAS
ALIANZA PARA EL PROGRESO,38,8.243%,5.919%,ANCASH,BOLOGNESI,MANGAS
PARTIDO NACIONALISTA PERUANO,11,7.006%,5.392%,ANCASH,BOLOGNESI,PACLLON
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,0.000%,0.000%,ANCASH,BOLOGNESI,PACLLON
PARTIDO MORADO,0,0.000%,0.000%,ANCASH,BOLOGNESI,PACLLON
PERU PATRIA SEGURA,0,0.000%,0.000%,ANCASH,BOLOGNESI,PACLLON
VICTORIA NACIONAL,6,3.822%,2.941%,ANCASH,BOLOGNESI,PACLLON
ACCION POPULAR,37,23.567%,18.137%,ANCASH,BOLOGNESI,PACLLON
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,4,2.548%,1.961%,ANCASH,BOLOGNESI,PACLLON
PODEMOS PERU,5,3.185%,2.451%,ANCASH,BOLOGNESI,PACLLON
JUNTOS POR EL PERU,8,5.096%,3.922%,ANCASH,BOLOGNESI,PACLLON
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,ANCASH,BOLOGNESI,PACLLON
FUERZA POPULAR,26,16.561%,12.745%,ANCASH,BOLOGNESI,PACLLON
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,PACLLON
RENOVACION POPULAR,4,2.548%,1.961%,ANCASH,BOLOGNESI,PACLLON
RENACIMIENTO UNIDO NACIONAL,1,0.637%,0.490%,ANCASH,BOLOGNESI,PACLLON
PARTIDO DEMOCRATICO SOMOS PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,PACLLON
PARTIDO POLITICO NACIONAL PERU LIBRE,53,33.758%,25.980%,ANCASH,BOLOGNESI,PACLLON
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,BOLOGNESI,PACLLON
ALIANZA PARA EL PROGRESO,2,1.274%,0.980%,ANCASH,BOLOGNESI,PACLLON
PARTIDO NACIONALISTA PERUANO,11,7.006%,5.392%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,0.000%,0.000%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
PARTIDO MORADO,0,0.000%,0.000%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
PERU PATRIA SEGURA,0,0.000%,0.000%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
VICTORIA NACIONAL,6,3.822%,2.941%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
ACCION POPULAR,37,23.567%,18.137%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,4,2.548%,1.961%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
PODEMOS PERU,5,3.185%,2.451%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
JUNTOS POR EL PERU,8,5.096%,3.922%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
FUERZA POPULAR,26,16.561%,12.745%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
RENOVACION POPULAR,4,2.548%,1.961%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
RENACIMIENTO UNIDO NACIONAL,1,0.637%,0.490%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
PARTIDO DEMOCRATICO SOMOS PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
PARTIDO POLITICO NACIONAL PERU LIBRE,53,33.758%,25.980%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
DEMOCRACIA DIRECTA,0,0.000%,0.000%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
ALIANZA PARA EL PROGRESO,2,1.274%,0.980%,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI
PARTIDO NACIONALISTA PERUANO,8,1.770%,1.389%,ANCASH,BOLOGNESI,TICLLOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,1.327%,1.042%,ANCASH,BOLOGNESI,TICLLOS
PARTIDO MORADO,8,1.770%,1.389%,ANCASH,BOLOGNESI,TICLLOS
PERU PATRIA SEGURA,2,0.442%,0.347%,ANCASH,BOLOGNESI,TICLLOS
VICTORIA NACIONAL,5,1.106%,0.868%,ANCASH,BOLOGNESI,TICLLOS
ACCION POPULAR,25,5.531%,4.340%,ANCASH,BOLOGNESI,TICLLOS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,18,3.982%,3.125%,ANCASH,BOLOGNESI,TICLLOS
PODEMOS PERU,11,2.434%,1.910%,ANCASH,BOLOGNESI,TICLLOS
JUNTOS POR EL PERU,167,36.947%,28.993%,ANCASH,BOLOGNESI,TICLLOS
PARTIDO POPULAR CRISTIANO - PPC,1,0.221%,0.174%,ANCASH,BOLOGNESI,TICLLOS
FUERZA POPULAR,33,7.301%,5.729%,ANCASH,BOLOGNESI,TICLLOS
UNION POR EL PERU,0,0.000%,0.000%,ANCASH,BOLOGNESI,TICLLOS
RENOVACION POPULAR,16,3.540%,2.778%,ANCASH,BOLOGNESI,TICLLOS
RENACIMIENTO UNIDO NACIONAL,2,0.442%,0.347%,ANCASH,BOLOGNESI,TICLLOS
PARTIDO DEMOCRATICO SOMOS PERU,4,0.885%,0.694%,ANCASH,BOLOGNESI,TICLLOS
PARTIDO POLITICO NACIONAL PERU LIBRE,134,29.646%,23.264%,ANCASH,BOLOGNESI,TICLLOS
DEMOCRACIA DIRECTA,2,0.442%,0.347%,ANCASH,BOLOGNESI,TICLLOS
ALIANZA PARA EL PROGRESO,10,2.212%,1.736%,ANCASH,BOLOGNESI,TICLLOS
