nlat_ie,nlong_ie
-6.41762,-77.54868
-6.41935,-77.5573
-6.43354,-77.50727999999999
-6.4194,-77.5573
-6.4526,-77.5245
-6.4355,-77.524
-6.4274,-77.56570000000001
-6.446,-77.5337
-6.4273,-77.5372
-6.45972,-77.61986
-6.43177,-77.53108
-6.4981,-77.5004
-6.50336,-77.58246
-6.50924,-77.47872
-6.4975,-77.5001
-6.52082,-77.56944
-6.57658,-77.53798999999999
-6.49782,-77.49965
-6.52103,-77.49119
-6.49377,-77.52258999999999
-6.3836,-77.54689999999999
-6.3932,-77.56789999999999
-6.394,-77.5395
-6.38598,-77.54458
-6.3931,-77.56910000000001
-6.3857,-77.5479
-6.3866,-77.50360000000001
-6.3782,-77.52290000000001
-6.3853,-77.5065
-6.3789,-77.52200000000001
-6.4996,-77.4392
-6.4943,-77.4115
-6.4943,-77.4113
-6.4998,-77.4391
-6.4695,-77.39570000000001
-6.478,-77.3693
-6.54746,-77.37778
-6.4384,-77.4012
-6.4736,-77.39960000000001
-6.477,-77.36669999999999
-6.4461,-77.4135
-6.4434,-77.38630000000001
-6.44931,-77.3522
-6.6172,-77.3254
-6.51744,-77.2457
-6.4568,-77.4053
-6.45605,-77.37627000000001
-6.55097,-77.23545
-6.61898,-77.23237
-6.62591,-77.22895
-6.50037,-77.36402
-6.6505,-77.32899999999999
-6.70657,-77.32123
-6.5838,-77.22462
-6.60042,-77.33175
-6.67021,-77.32713
-6.6396,-77.27185
-6.6956,-77.29130000000001
-6.63509,-77.22817000000001
-6.46775,-77.3929
-6.4752,-77.379
-6.5493,-77.23569000000001
-6.2784,-77.19307999999999
-6.4525,-77.4567
-6.4527,-77.4563
-6.4467,-77.47199999999999
-6.4914,-77.47110000000001
-6.49242,-77.45648
-6.4915,-77.47110000000001
-6.4924,-77.45650000000001
-6.15027,-77.30427
-5.7594,-78.44070000000001
